probe_id,ad_mean,control_mean,difference
227671_at,220.88334277100003,38.84237960076879,182.04096317023124
224588_at,188.81571220725,29.079989889104045,159.73572231814595
221728_x_at,119.828904123125,62.32322478482658,57.50567933829842
214218_s_at,101.95889943825,61.06251164271676,40.89638779553324
224687_at,33.89021035,1.1183662475722544,32.77184410242774
224589_at,48.995642017625,32.8457459917341,16.149896025890904
212833_at,12.118016432500003,1.0809297084971097,11.037086724002894
203021_at,11.693136185250001,2.2773938623699417,9.41574232288006
202018_s_at,11.036605468249999,2.116123842254335,8.920481625995663
224590_at,49.408568499875,41.565484964624275,7.843083535250727
