probe_id,ad_mean,control_mean,difference
209660_at,7.728046330999999,28.396166435202318,-20.66812010420232
1554299_at,0.725402086125,14.694865032890172,-13.969462946765173
204437_s_at,1.30398562925,11.028135310751443,-9.724149681501443
219824_at,4.55974659575,13.433255141965317,-8.873508546215316
227742_at,4.69160188225,12.233059817572254,-7.541457935322255
207848_at,0.43205938625000007,6.660634719942193,-6.228575333692193
211318_s_at,0.8610993812500001,6.7503296768786125,-5.889230295628613
210511_s_at,1.14222866175,6.321062219710982,-5.178833557960982
227140_at,1.0144427303749999,6.130140590404625,-5.115697860029625
1558750_a_at,0.567395060875,5.538709002601155,-4.971313941726155
